Speech_Paras,Sentiment_Label,Sentiment_Score
a year ago were hit with a virus that was met with silents and spread unchecked the niles for days weeks then months that led to more deaths more infections more stress and more loneliness photos and videos from twenty nineteen feel like they were taking i n another era,NEGATIVE,-0.9957019090652466
 the last vacation the last birthday with friends the last holiday with extended family while it was different for everyone we all lost something a collective suffering a collective sacrifice a year fill with the loss of life and the loss of living for all of us but in the loss,NEGATIVE,-0.9937897324562073
 we saw how much there was to gain in appreciation reespect and gratitude finding light in the darkness is a very american thing to do in fact it may be the most american thing we do and that's what we've done we've seen front line and escentral workers risking their lives sometimes losing them,POSITIVE,0.9979060888290405
 to save and help others researches and sciences racing for a vaccine and so many of you ad heming way road being strong and all the broken places i know it's been hard i truly now i've told you before i carry a card in my pocket,NEGATIVE,-0.9560103416442871
 tat the number of americans who have died on cove to datis on the back of my schedule as of now total deaths in america five hundred and twenty seven thousand seven hundred and twenty six thas more deaths thand in war war one war war two via nom,NEGATIVE,-0.9956847429275513
 and nine eleven combine there were husbands wives sons and daughters  grandparents friends neighbors young and old they leave behind love ones unable to truly grieve or o heal even to have a funeral but i'm also thinking about everyone else lost this past year to naturalus,POSITIVE,0.8634794354438782
 by cruel fate of accident or other disease they too died alone they too leave behind love ones who are hurting badly you know you've often heard me say before i taght about the longest walk and you parent can make  as up a short flight of stairs to his child's bedroom to say i am sorry,NEGATIVE,-0.9959487915039062
 bu lost my job  can't be here any moe but my dad told me when he lost the job an cran so many ov you had to make that same walk thi patched yo ou lost your job o closed your busitness facing tr viction allest s honge lost control,NEGATIVE,-0.9997721910476685
 may be worst of all  loss of home watching te generation of children who may be set back up to a year or more t te notan schoo be ause the loss of learning i's the details of life ta mattor est a we miss those details tha tig detas of the small mome  weddings birth,NEGATIVE,-0.9996585249900818
 graduations all the things it needed to happen adidn the first day the familyunions the sunday night rituals it's all as exacti aterm case and the psyche of so manyof us for we are fundamental people i want to be with othes,NEGATIVE,-0.9113913774490356
 toltoe toold one anotherbut this  firus has kept us apart and grandparents haven't seen their children or grandchildren parents haven't seen their kids kids haven't seen their friends the things we used to do that always filled us with joy had become things we couldn't do,POSITIVE,0.9450604319572449
 and brodke our hearts too often we've turned against one another a mask the easiest thing to do to save lives sometimes it divides us states pitted against one another instead of working with each other vicious hate crimes against asian ameritcans who ween attacked,NEGATIVE,-0.9901724457740784
 harasse blamed and scapegoded at this very moment h so many of them our fellow americans they're on the front lines of this pandemic trina save lives and still still theyreare forced to live in fear for their lives just walking down streets in america it's wrong it's an american and it must,NEGATIVE,-0.9990375638008118
 stop look we know what we need to do to beat this fires tell the truth foll the scientist the science work together put trust and faith in our government tofill its most important function which is protecting the american people no function more important we need to remember that government isn't,NEGATIVE,-0.9750759601593018
 foreign force in a distant capital no it's us all of us we the people for you and i that america thrives wen we give our hearts wwed we turn our hands to come on purpose and right now my friends we're doing just that,POSITIVE,0.9949930906295776
 say as you're present iam grateful to you last summer i was in philadelphia and i met a small business honor a woman i asked her i said what do you need most never forget what she said to me she said and looking m mey in the eyes she said i just want the truth the truth just tell me the,POSITIVE,0.9984847903251648
 think of that my fellow americans you owe nothing less than he truth and for all of you baski when things will get back to normal here is the truth the only way to get our lives back to get our economy back ontrac is to beat the virus you've ben hearin,NEGATIVE,-0.9208489060401917
 say that for while i was running and the last fifty days i've been president but this is one of the most complex operations we've undernder undever undertaken as a nation and a long time that's why 'm using every power i have as president of thehe united states to put us on a war footing and get the job done sounds like i perbly that i meang it a war footing,NEGATIVE,-0.5574830770492554
 and thank god we're making some real progress now in my first full day in office i outline for you a comprehensive strategy to beat this pandemic wehave spent everyday sense attempting to carry it out two months ago the country this country didn't have nearly enough vaccine supply to vaccinate all or ever near allmera,POSITIVE,0.9964372515678406
 americanpublic but soon we will we've been working with vaccine manufacturers fiser mdurne johnson and johnson to manufacture and purchase hundrede of millions of doses of these three safe effecti vaccines and now at the direction and with the assistance of my administration johnson and johnson,POSITIVE,0.8313757181167603
 is working together with a competitor murk to speed up and increase the capacity to manufacture new johnson and johnson vacsen wats one shot in fact just yesterday i announced and i met with the c os of both companies i announced our plan to buy an additional one hundred million doses of johnson and,POSITIVE,0.5448320508003235
 and vaccines these two companies competitors have come together for the good of the nation and they should be applauded for it it's truly a national effort just like we saw during war war too now because all the work we've done we'll have enough vaccine supply for all adults in america by the end of,POSITIVE,0.9992897510528564
 that's months ahead of schedule and we're mobilizing thousands of vaccinators to put the vaccine in one's arm calling active duty military pima retired doctors and nurses administratuors and  those to administer the shots and we've been creating more places to get the shots,NEGATIVE,-0.9965171217918396
 made it possible for you to get a vaccine an nearly one any one of ten thousand farmisies across the country just like you get your flue shot we're a also working with governors and mayors in red states and blue states to set up and support nearly six hundred federally supported vaccination centers that administers hundreds of thousands of shots per day,POSITIVE,0.903954803943634
 you can drive up to a statimg or a large parky line get your shot never leave your car and drive home in less than an hourwe've been sending vac seas to hundreds of community health centers all across america located in underserved areas and we've been deploying and we will deploy more mobilevehicles and pop up planks to meet you,POSITIVE,0.9714463949203491
 where you live so those who are least able to get the vaccine are able to get it we continue to worn on making at home testing available awe been focused on serving people in the hardest it communities of this pandemic black latino native american an rural communities so what does all this add up to e i took office fifty days ago,NEGATIVE,-0.9934410452842712
 only eight per cent on americans after months only eight per cent of those over the age of sixty five ha goten their first fac cent cnt to day that numberis sixty five per cent just fourteen per cent of americans over the age of seventy five fifty fifty days ago had gotten their first shot to day that number is,NEGATIVE,-0.9821335077285767
 over seventy per cent with new guidance from the centers for disease control and prevention the c d c that came out on monday it means simply this millions and millions of grandparentswo went months without being able hug their grand kids can now do co and the more people are fully vaccinated the c d will continue to provide additional guidance,NEGATIVE,-0.9406513571739197
 and what you can do in the work place places of worship with your friends as well as travl when i came in the office you may recall i said ta gold ha meno u sad was at kind of way over the top i said i intended to get a hundred million shots in people's arms in my first hundred days in office to night i can say were,POSITIVE,0.6530601382255554
 igoing to meet that goal we're going to beat that goal because we've actually intraced to reach this goal of a hundred lion shots and arms on my sixtieth day in office no other country in the world has done this none i want to talk about the next steps for thinking about first to night i'm announcing that i'll direct all states tribes and territory,POSITIVE,0.6682515144348145
 to make all adults people eighteen and over eligible to be vaccinated no later than may one let me say that again all adult americans will be eligible to get a vaccine no later than may ne that's much earlier an expected let me be clear that doesn't mean everyone's going to have that shot immediately,NEGATIVE,-0.963131308555603
 it means you'd be able to get in line beginning may one every adult will eligl to get their shot and to do this we're going to go from a million shots ta day that i promised in december before i wit sworn in to maintaining beating our current pace of two million shots a day how pacing the rest of the world secondly at,POSITIVE,0.9539645910263062
 time when every adult is eligible to may we will launch with our partners new tools to make it easier for you to find the vacy and where to get the shop including a new web sihte that will help you first find the place to get vaccinated and the one nearest you no more searching day and night for an appointment for you and your loved ones,NEGATIVE,-0.9746653437614441
 thirdly with the passage of the american rescue plan and i thank again the house of senafor passide and my announcement last month of a plan to vaccinate teachers and school staff i  ncluding bus drivers we can accelerate massive nation wide effort to reopen our schools safely and meet my goal that,POSITIVE,0.9972076416015625
 stated at the same time about a hundred million shots of opening majority of k through eight schools ind my first hundred days in office this is going to be the number one priority of my new secretary of education maguel cardona four in the coming weeks we will issue further guidance,POSITIVE,0.9947023987770081
 on what you can and cannot do once fully vaccinated to lessen the confusion to keep people safe and encourage more people to get vaccinatd and finally fifft and may be most importantly i promise i will do everything in my power i will not relent until we beat this fires but i need you,POSITIVE,0.9948822855949402
 the american people i need you i need every america to do te part that's not i perbly i ned you i need you to get vactinated when it's your turn when you can find an oppor tunity and to help your family your friends your neighbors  get vaccinated as well because here's the point if we do all this if we,NEGATIVE,-0.9954122304916382
 our part if we do this together bhy july  the fourth there's a good chance you yor families and friends we'll be able to get together in your back yard or in your neighbourhood and have a  cook outan a barbicu and celebrate independence day that doesn't mean large events with lots of people together but it does mean small groups we'll be able to get together after this long hard,POSITIVE,0.9976336359977722
 here that will make this independence day something truly special where we not only mark our independence as a nation but we begin to mark our independence from this virus but to get there we can't let our guard down this fight is far from order from over as i told omanpens fa i'll,POSITIVE,0.995930552482605
 the truth en july fourth with your love ones is the gol but a goal a lot can happen conditions can change the scientists have made clear that things may get worse again as new variance of the virus spread  we've got work to do to intrue t  everyone has confidence,NEGATIVE,-0.995019257068634
 the safety and effectives of all three vaccines so my message o you is this listen to doctor fauche one most distinguished and trusted voices in the world he's assured us the vaccines are safe they underwent rigorous scientific review i know theyare safe vice president harrins harris and i know they 're safe,POSITIVE,0.9976550340652466
 that's why we got the vaccine publocly in front of cameras so for the world to see so you can see us do it  the first lady the second gentleman also got vacinate talk to your famil friends your neighbors the people you know best who gotten the vaccin we ned every one to get vacinated we need everyone to keep washing their,NEGATIVE,-0.9912309050559998
 ands stay socially distance and keep wearing the mask as recamended by the c d ccause even if we devote every resource we have beating this fires and getting back to normal depends on national unit an national unity isn't just how politics and politicians vote in washington whath the loudest,NEGATIVE,-0.9866945743560791
 the sand camear on line unity is what we do together as fellow americans because we don't stay vigilt and the conditions change then we may have to reinstate restrictions to get back on tract  please we don't want to do that again we've made so much progress this is not the time to let up,NEGATIVE,-0.976655900478363
 just as we were emerging from a dark winter e a hopeful spring and summer as not ta time  nost stickitthes e close o this we've lost so much oe the last year we've lost family a friends we've lost business and dreams we spent year's building,POSITIVE,0.8594222664833069
 we've lost time time with each otherand our children lost so much time with tur friends  time with ther shools no graduations sam mones as this spring o graduations  colleg hig school weve we nup e know ee something else iose we lost faith in weather or government and our,NEGATIVE,-0.9982156157493591
 democracy can deliver on re the arc tanks for the american people but as i stand here to night we're proving once again something i've said time and ti angain to t tom a tireh me say i say to foreign leaders a domestic aliht it's never ever a good bet to bet against the american people amer,NEGATIVE,-0.7039948105812073
 is coming back the development manufacture and distribution of accines in record time is a true miracle of science it's one of the most extraordinary achievements any counantry has ever accomplished and we also just saw the perseverance rover land on mars stunning images of our dreams that are now reality,POSITIVE,0.9998477697372437
 another example of the extraordinary american ingenuity commimtment of belief in science and one another and to day i signd in the law of the american rescue plan an historic piece of legislation delivers immediate relief to millions of people includes one thousand four hundred dollars in direct rescue checks payments that means,POSITIVE,0.9995229244232178
 typical family of four earning about a hundred ten thouasand dollaran l ge checks for five thousand six hundred dollars deposited  if they have drect deposid or in a check a treasury check it extends unemployment benefits it helps small businesses lower helt care treatment for many it provides food and nutrition keeps families in their homes and it will cut child poverty in this,NEGATIVE,-0.6184337735176086
 try in half according to the experts and a fine and its funs all the steps i've just described to beat to viruss and crat millions of jobs in the coming weeks and months i'll be travelling along with the first lady the vice  president second gentlemen members of my cabinet to speak directly to you to tell you the truth,POSITIVE,0.9893594980239868
 how the american rescue plan meets the moment and if it fails in any pat i will acknowledge that it failed but it will not but how after long dark years one whole year there is hope and light on better days ahead if we all do our part this country will be vaccinated soon our economy,POSITIVE,0.9366056323051453
 beon the men our kids will be back in schoola we'll have truth ad once again tat this country can do  anything heart thingsa thingtings importhings over year ago no one could imagined what we were about to go through but now,NEGATIVE,-0.9302691221237183
 were comitng through it at ha shared experience that binds us together s nation we are bound together by the loss and the pain and the days that have gone by fere also bound together byt the hope and the possibilities the days in front of us my firm,POSITIVE,0.9844951629638672
 for our country istht after all ween throug come together it's ne pe one nation one amcr i believe wie can and we wh we're seizing this moment and history i believe were  or  we're faced and overcame one of the toughest and darkest periods in this nation,POSITIVE,0.5376834273338318
 historytarces wev everno il promise y will come out stronger with a renewed faith in ourselves o renewed commitment to oneanoher to our comunities and to our counrtry this is the united states of america and ts nothing  nothing ond tubot of my heart i believe this 'ss nothing we,POSITIVE,0.984024167060852
 we do i togethero god bless you all please  god give solse to all tho ye  a so may god protetect o thank you etet iu itimefor seee,POSITIVE,0.997602105140686
